topic_sports_location_illinois_the san diego padres,0.5500000000
topic_sports_location_illinois_the green bay packers,0.5500000000
topic_sports_location_illinois_the cincinnati reds,0.5500000000
topic_sports_location_illinois_the chicago cubs,0.5500000000
topic_sports_location_illinois_slap shot,0.5500000000
topic_sports_location_illinois_sidney crosby,0.5500000000
topic_sports_location_illinois_minor league,0.5500000000
topic_sports_location_illinois_locker room,0.5500000000
topic_sports_location_illinois_jordan spieth,0.5500000000
topic_sports_location_illinois_henrik stenson,0.5500000000
topic_sports_location_illinois_grand slam,0.5500000000
topic_sports_location_illinois_goals against average,0.5500000000
topic_sports_location_illinois_fourth quarter,0.5500000000
topic_sports_location_illinois_earned run average,0.5500000000
topic_sports_location_illinois_disabled list,0.5500000000
topic_sports_location_illinois_blue jackets,0.5500000000
topic_sports_location_illinois_tight end,0.5428571429
topic_sports_location_illinois_sixth inning,0.5428571429
topic_sports_location_illinois_shots on goal,0.5428571429
topic_sports_location_illinois_seconds left,0.5428571429
topic_sports_location_illinois_performance enhancing drugs,0.5428571429
topic_sports_location_illinois_fourth inning,0.5428571429
topic_sports_location_illinois_final round,0.5428571429
topic_sports_location_illinois_eddie johnson,0.5428571429
topic_sports_location_illinois_wide receiver,0.5357142857
topic_sports_location_illinois_upper body,0.5357142857
topic_sports_location_illinois_the philadelphia phillies,0.5357142857
topic_sports_location_illinois_the major leagues,0.5357142857
topic_sports_location_illinois_san jose,0.5357142857
topic_sports_location_illinois_overtime victory,0.5357142857
topic_sports_location_illinois_maple leafs,0.5357142857
topic_sports_location_illinois_hall of fame,0.5357142857
topic_sports_location_illinois_gold cup,0.5357142857
topic_sports_location_illinois_the game winner,0.5285714286
topic_sports_location_illinois_pinch hit,0.5285714286
topic_sports_location_illinois_host pittsburgh,0.5285714286
topic_sports_location_illinois_defending champion,0.5285714286
topic_sports_location_illinois_the cleveland indians,0.5214285714
topic_sports_location_illinois_salary cap,0.5214285714
topic_sports_location_illinois_million contract,0.5214285714
topic_sports_location_illinois_manager terry collins,0.5214285714
topic_sports_location_illinois_louis cardinals,0.5214285714
topic_sports_location_illinois_loaded the bases,0.5214285714
topic_sports_location_illinois_left wrist,0.5214285714
topic_sports_location_illinois_left knee,0.5214285714
topic_sports_location_illinois_jim furyk,0.5214285714
topic_sports_location_illinois_host minnesota,0.5214285714
topic_sports_location_illinois_high school,0.5214285714
topic_sports_location_illinois_free agency,0.5214285714
topic_sports_location_illinois_franchise record,0.5214285714
topic_sports_location_illinois_foot birdie putt,0.5214285714
topic_sports_location_illinois_first round series,0.5214285714
topic_sports_location_illinois_end the inning,0.5214285714
topic_sports_location_illinois_david ortiz,0.5214285714
topic_sports_location_illinois_tied the game,0.5142857143
topic_sports_location_illinois_the national league,0.5142857143
topic_sports_location_illinois_the end zone,0.5142857143
topic_sports_location_illinois_solo homer,0.5142857143
topic_sports_location_illinois_season ending,0.5142857143
topic_sports_location_illinois_rory mcilroy,0.5142857143
topic_sports_location_illinois_milwaukee brewers,0.5142857143
topic_sports_location_illinois_luke donald,0.5142857143
topic_sports_location_illinois_hip surgery,0.5142857143
topic_sports_location_illinois_fedex cup playoff,0.5142857143
topic_sports_location_illinois_all star break,0.5142857143
topic_sports_location_illinois_wrist shot,0.5071428571
topic_sports_location_illinois_three game series,0.5071428571
topic_sports_location_illinois_the winning run,0.5071428571
topic_sports_location_illinois_the los angeles dodgers,0.5071428571
topic_sports_location_illinois_the american league east,0.5071428571
topic_sports_location_illinois_sunday night,0.5071428571
topic_sports_location_illinois_stopped shots,0.5071428571
topic_sports_location_illinois_seven scoreless innings,0.5071428571
topic_sports_location_illinois_second straight game,0.5071428571
topic_sports_location_illinois_runs batted in,0.5071428571
topic_sports_location_illinois_rehab assignment,0.5071428571
topic_sports_location_illinois_nelson cruz,0.5071428571
topic_sports_location_illinois_his major league debut,0.5071428571
topic_sports_location_illinois_head coach,0.5071428571
topic_sports_location_illinois_four game series,0.5071428571
topic_sports_location_illinois_double bogey,0.5071428571
topic_sports_location_illinois_winning streak,0.5000000000
topic_sports_location_illinois_wide open,0.5000000000
topic_sports_location_illinois_series opener,0.5000000000
topic_sports_location_illinois_robinson cano,0.5000000000
topic_sports_location_illinois_rain delay,0.5000000000
topic_sports_location_illinois_pro bowl,0.5000000000
topic_sports_location_illinois_playoff games,0.5000000000
topic_sports_location_illinois_matt moore,0.5000000000
topic_sports_location_illinois_hall of famer,0.5000000000
topic_sports_location_illinois_defensive end,0.5000000000
topic_sports_location_illinois_center fielder,0.5000000000
topic_sports_location_illinois_batting practice,0.5000000000
topic_sports_location_illinois_scored two goals,0.4928571429
topic_sports_location_illinois_prince fielder,0.4928571429
topic_sports_location_illinois_left fielder,0.4928571429
topic_sports_location_illinois_david wright,0.4928571429
topic_sports_location_illinois_citi field,0.4928571429
topic_sports_location_illinois_allowed two runs,0.4928571429
topic_sports_location_illinois_aaron rodgers,0.4928571429
topic_sports_location_illinois_yankee stadium,0.4857142857
topic_sports_location_illinois_vernon wells,0.4857142857
topic_sports_location_illinois_the los angeles angels,0.4857142857
topic_sports_location_illinois_straight games,0.4857142857
topic_sports_location_illinois_pitching coach,0.4857142857
topic_sports_location_illinois_pavel datsyuk,0.4857142857
topic_sports_location_illinois_matt holliday,0.4857142857
topic_sports_location_illinois_left handed,0.4857142857
topic_sports_location_illinois_carlos beltran,0.4857142857
topic_sports_location_illinois_batting average,0.4857142857
topic_sports_location_illinois_american league,0.4857142857
topic_sports_location_illinois_starting lineup,0.4785714286
topic_sports_location_illinois_starling marte,0.4785714286
topic_sports_location_illinois_shutout innings,0.4785714286
topic_sports_location_illinois_rbi double,0.4785714286
topic_sports_location_illinois_points streak,0.4785714286
topic_sports_location_illinois_longest streak,0.4785714286
topic_sports_location_illinois_knee injury,0.4785714286
topic_sports_location_illinois_hit the ball,0.4785714286
topic_sports_location_illinois_game skid,0.4785714286
topic_sports_location_illinois_draft pick,0.4785714286
topic_sports_location_illinois_adam jones,0.4785714286
topic_sports_location_illinois_yards and touchdowns,0.4714285714
topic_sports_location_illinois_tie the game,0.4714285714
topic_sports_location_illinois_spring training,0.4714285714
topic_sports_location_illinois_marlon byrd,0.4714285714
topic_sports_location_illinois_mariano rivera,0.4714285714
topic_sports_location_illinois_championship game,0.4714285714
topic_sports_location_illinois_batters he faced,0.4714285714
topic_sports_location_illinois_two weeks ago,0.4642857143
topic_sports_location_illinois_opening round,0.4642857143
topic_sports_location_illinois_news media,0.4642857143
topic_sports_location_illinois_designated hitter,0.4642857143
topic_sports_location_illinois_chance to win,0.4642857143
topic_sports_location_illinois_brandt snedeker,0.4642857143
topic_sports_location_illinois_allowed four runs,0.4642857143
topic_sports_location_illinois_viktor stalberg,0.4571428571
topic_sports_location_illinois_tourist attraction,0.4571428571
topic_sports_location_illinois_tommy john surgery,0.4571428571
topic_sports_location_illinois_phil mickelson,0.4571428571
topic_sports_location_illinois_fielder's choice,0.4571428571
topic_sports_location_illinois_andrew mccutchen,0.4571428571
topic_sports_location_illinois_allowed three runs,0.4571428571
topic_sports_location_illinois_yankees manager joe girardi,0.4500000000
topic_sports_location_illinois_trade deadline,0.4500000000
topic_sports_location_illinois_san jose's,0.4500000000
topic_sports_location_illinois_long term,0.4500000000
topic_sports_location_illinois_jimmy butler,0.4500000000
topic_sports_location_illinois_dressing room,0.4500000000
topic_sports_location_illinois_consecutive games,0.4500000000
topic_sports_location_illinois_point guard,0.4428571429
topic_sports_location_illinois_ryan newman,0.4357142857
topic_sports_location_illinois_brink of elimination,0.4357142857
topic_sports_location_illinois_home ice advantage,0.4285714286
topic_sports_location_illinois_martin truex jr,0.4214285714
topic_sports_location_illinois_taj gibson,0.4142857143
topic_sports_location_illinois_goalie tuukka rask,0.4142857143
